iter	RMSE
0	79787.8915811	79783.0258522	79778.5504
3	79774.0248
4	79769.4894
5	79764.96597
6	79760.23224
7	79755.783
8	79751.45787
9	79747.55618
10	79743.0352
11	79738.85777
12	79734.26577
13	79729.89903
14	79725.48707
15	79721.09995
16	79716.44528
17	79711.91116
18	79707.22044
19	79702.91286
20	79698.4849
21	79693.80113
22	79690.02601
23	79685.78933
24	79681.23665
25	79677.32368
26	79673.0224
27	79669.22339
28	79664.88051
29	79660.75504
30	79655.88613
31	79651.24222
32	79646.81601
33	79642.41549
34	79637.84472
35	79633.37147
36	79628.89684
37	79624.15259
38	79619.9323
39	79615.59635
40	79611.05906
41	79606.53927
42	79602.21765
43	79597.6657
44	79593.36339
45	79589.36648
46	79585.08434
47	79580.81848
48	79576.44012
49	79571.72013
50	79567.62854
51	79562.99169
52	79558.67682
53	79554.41181
54	79549.97004
55	79545.92982
56	79541.62413
57	79537.31753
58	79532.8971
59	79528.47227
60	79524.39976
61	79519.83274
62	79515.72522
63	79511.04922
64	79506.83875
65	79502.67251
66	79498.42234
67	79493.98586
68	79489.27375
69	79484.66199
70	79480.1655
71	79476.15246
72	79471.70066
73	79467.24828
74	79463.09388
75	79458.91799
76	79454.32537
77	79450.01633
78	79445.49609
79	79441.23948
80	79436.58927
81	81	79858.36082	82	79853.88683	83	79849.15784	84	79844.38185	85	79839.84286	86	79835.60287	87	79831.29
88	79827.17825
89	79822.66172
90	79818.35538
91	79814.108
92	79809.57458
93	79805.25063
94	79800.87377
95	79796.45865
96	79792.18648
97	79787.66649
98	79783.87408
99	79779.15768
100	79774.56197
101	79770.40049
102	79766.16169
103	79761.81429
104	79757.49753
105	79752.94687
106	79748.53157
107	79743.86405
108	79739.50277
109	79734.98555
110	79730.69447
111	79726.305691112	79722.158051113	79717.787511114	79713.343811115	79708.89171116	79704.516611117	79700.15991118	79696.057361119	79691.818181120	79687.369761121	79683.235651122	79678.682031123	79674.704621124	79670.299511125	79666.078741126	79661.525021127	79657.130481128	79652.3789
129	79647.69946
130	79643.24504
131	79639.051071132	79635.053651133	79630.886351134	79626.358261135	79622.003911136	79617.868451137	79613.643311138	79608.99825139	79179.33104
140	79175.06242
141	79170.49189
142	79165.97981
143	79161.92562
144	79157.71161
145	79153.21279
146	79148.94771
147	79144.69388
148	79140.21219
149	79135.92405
150	79131.41975
151	79126.64325
152	79122.68317
153	79118.25981
154	79114.25582
155	79109.95859
156	79105.63802
157	79101.77892
158	79097.60842
159	79093.51811
160	79088.93937
161	79084.55662
162	79080.42488
163	79076.0391
164	79071.41971
165	79066.93524
166	79062.64815
167	79058.23527
168	79054.02045
169	79049.43544
170	79045.06994
171	79041.06361
172	79037.11806
173	79032.50745
174	79028.63805
175	79024.6075
176	79019.90436
177	79015.82246
178	79011.71809
179	79007.14779
180	79002.75821
181	78998.34649
182	78994.432
183	78989.92005
184	78985.71197
185	78981.5591
186	78977.39432
187	78972.77786
188	78968.93188
189	78964.2441
190	78959.99929
191	78955.81946
192	78951.25211
193	78947.32655
194	78943.11807
195	78938.82207
196	78934.54192
197	78930.3546
198	78925.87993
199	78921.51148
200	78917.52873
201	78912.99308
202	78909.2914
203	78905.04714
204	78900.45764
205	78895.8638
206	78891.60832
207	78886.97483
208	78882.6811
209	78878.19633
210	78874.45611
211	78869.91016
212	78865.5301
213	78860.99459
214	78856.90317
215	78852.55081
216	78847.91503
217	78843.63167
218	78838.94208
219	78834.48951
220	78830.12438
221	78825.89157
222	78821.39908
223	78816.74351
224	78812.15298
225	78808.03363
226	78804.28768
227	78799.53771
228	78795.02642
229	78790.72941
230	78786.24289
231	78781.55383
232	78777.11803
233	78772.64613
234	78768.27168
235	78764.01442
236	78759.41349
237	78755.29651
238	78751.06827
239	78746.42551
240	78742.3468
241	78737.89473
242	78733.5185
243	78729.27577
244	78724.93663
245	78720.42088
246	78715.74976
247	78711.48572
248	78707.35839
249	78702.77412
250	78698.79657
251	78694.35481
252	78690.01365
253	78685.78468
254	78681.43955
255	78677.17967
256	78673.11706
257	78668.63285
258	78664.06731
259	78659.84116
260	78655.89384
261	78651.60673
262	78647.08687
263	78642.89384
264	78638.65698
265	78634.64553
266	78630.42416
267	78626.21044
268	78621.82501
269	78617.15598
270	78612.76642
271	78608.08014
272	78603.97911
273	78600.27168
274	78595.77166
275	78591.27039
276	78586.66422
277	78582.27689
278	78578.33309
279	78574.08621
280	78570.133
281	78565.82238
282	78561.88673
283	78557.77037
284	78553.94195
285	78549.9934
286	78545.73153
287	78541.37895
288	78537.19667
289	78532.85172
290	78528.53771
291	78524.39997
292	78520.02955
293	78515.84723
294	78511.44792
295	78507.00954
296	78502.86554
297	78498.38239
298	78493.84087
299	78489.29609
300	78484.86515
301	78480.72067
302	78476.17695
303	78471.71762
304	78467.22315
305	78462.77288
306	78458.64367
307	78454.50773
308	78450.15594
309	78445.84218
310	78441.19212
311	78436.77079
312	78432.51888
313	78427.9864
314	78423.31697
315	78418.74392
316	78414.45632
317	78410.24076
318	78406.2937
319	78401.65447
320	78397.57518
321	78393.17775
322	78388.82057
323	78384.77719
324	78380.35497
325	78376.39033
326	78372.16935
327	78367.82591
328	78363.82285
329	78359.33345
330	78355.32171
331	78350.91542
332	78346.68832
333	78342.15753
334	78338.42251
335	78334.53917
336	78330.03005
337	78325.7091
338	78321.28702
339	78316.79877
340	78312.97281
341	78308.83682
342	78304.33239
343	78300.10121
344	78295.59509
345	78291.4068
346	78287.04775
347	78282.5437
348	78278.72987
349	78274.64699
350	78270.39681
351	78266.00311
352	78261.49553
353	78257.28366
354	78252.80478
355	78248.22556
356	78244.14831
357	78239.82424
358	78235.14893
359	78231.14236
360	78226.79372
361	78222.61454
362	78218.31936
363	78213.9163
364	78209.96137
365	78205.8391
366	78201.41975
367	78197.14857
368	78192.66909
369	78188.67219
370	78184.42619
371	78180.20494
372	78176.05458
373	78171.78127
374	78167.43706
375	78163.24406
376	78159.29166
377	78154.69815
378	78150.43299
379	78145.74104
380	78141.41791
381	78137.19446
382	78132.99355
383	78128.79984
384	78124.33418
385	78119.77016
386	78115.83318
387	78111.2783
388	78107.36088
389	78103.01251
390	78098.82433
391	78095.07494
392	78090.82117
393	78086.51813
394	78082.16823
395	78077.55018
396	78073.33324
397	78068.87411
398	78064.59957
399	78060.50201
400	78056.3698
401	78051.96959
402	78047.90743
403	78043.79325
404	78039.41903
405	78035.10274
406	78030.95724
407	78026.61941
408	78022.14211
409	78018.23427
410	78013.96383
411	78009.76628
412	78005.43702
413	78001.00119
414	77996.40448
415	77992.09628
416	77987.70363
417	77983.27341
418	77978.86735
419	77974.57739
420	77969.99767
421	77965.65591
422	77961.65374
423	77957.65149
424	77953.08525
425	77948.77569
426	77944.27241
427	77940.12889
428	77935.91102
429	77931.62363
430	77927.39633
431	77923.33773
432	77919.0031
433	77914.64263
434	77910.57437
435	77906.50171
436	77902.46884
437	77898.00574
438	77893.95329
439	77889.63769
440	77885.35211
441	77881.3635
442	77877.09426
443	77872.73421
444	77868.24712
445	77864.22835
446	77859.97633
447	77855.75657
448	77851.27058
449	77847.29295
450	77843.03373
451	77839.14189
452	77834.84373
453	77830.73809
454	77826.02659
455	77821.90214
456	77818.19294
457	77813.98139
458	77809.59373
459	77805.43476
460	77801.33219
461	77796.93767
462	77792.7669
463	77788.65022
464	77784.46475
465	77780.34821
466	77775.97785
467	77771.54787
468	77766.97027
469	77762.65218
470	77758.38771
471	77753.92599
472	77749.90159
473	77745.56452
474	77741.36278
475	77737.12999
476	77733.03131
477	77728.42893
478	77723.84251
479	77719.70762
480	77714.98719
481	77711.18687
482	77706.70449
483	77702.5122
484	77698.4482
485	77694.06102
486	77689.91161
487	77685.98749
488	77681.98154
489	77677.56696
490	77673.20357
491	77668.78116
492	77664.5256
493	77660.33487
494	77656.64423
495	77652.38059
496	77648.56911
497	77644.27427
498	77640.02662
499	77635.74134
500	77631.63293
501	77627.07581
502	77622.57217
503	77618.36571
504	77614.301
505	77609.88429
506	77605.47393
507	77601.68257
508	77597.61489
509	77593.71719
510	77589.86355
511	77585.86234
