iter	Passed	Remaining
0	151	1512907
1	157	789679
2	164	547626
3	171	428041
4	177	355569
5	184	307462
6	191	273721
7	198	248104
8	205	227744
9	212	212172
10	219	199481
11	227	189235
12	234	180373
13	242	173086
14	251	167276
15	261	163039
16	268	157760
17	276	153411
18	284	149304
19	293	146427
20	300	142844
21	307	139606
22	314	136467
23	322	133866
24	329	131377
25	336	129058
26	344	127122
27	351	125187
28	358	123300
29	366	121774
30	373	120157
31	381	118832
32	389	117679
33	396	116345
34	404	115103
35	411	113903
36	418	112602
37	424	111320
38	431	110108
39	438	109175
40	446	108356
41	453	107438
42	459	106433
43	466	105545
44	471	104199
45	477	103434
46	485	102708
47	491	102000
48	498	101328
49	505	100589
50	511	99871
51	518	99280
52	525	98550
53	531	97900
54	538	97399
55	545	96818
56	552	96300
57	558	95812
58	565	95296
59	572	94907
60	578	94179
61	584	93723
62	591	93289
63	597	92775
64	604	92403
65	611	92011
66	617	91606
67	624	91261
68	631	90860
69	637	90487070	644	90107171	650	89677272	656	89327373	664	89077474	671	88807575	677	88517676	684	88217777	691	87927878	698	87697979	705	87478080	711	871681	730	88413
82	738	88293
83	746	88107
84	753	87836
85	760	87618
86	767	87413
87	774	87279
88	782	87121
89	790	87005
90	797	86807
91	804	86623
92	811	86453
93	819	86319
94	826	86126
95	832	85922
96	840	85763
97	848	85684
98	855	85523
99	861	85273
100	867	85049
101	872	84619
102	878	84381
103	884	84178
104	891	84052
105	900	84043
106	907	83926
107	915	83864
108	922	83744
109	930	83623
110	936	83447
111	943	83340
112	951	83244
113	958	83121
114	965	83016
115	972	82891
116	979	82768
117	986	82654
118	993	82517
119	1000	82389
120	1008	82300
121	1015	82234
122	1023	82173
123	1030	82110
124	1037	82000
125	1045	81942
126	1053	81870
127	1060	81757
128	1066	81629
129	1074	81554
130	1081	81445
131	1088	81379
132	1095	81266
133	1102	81196
134	1109	81086
135	1116	80997
136	1123	80850
137	1129	80694
138	1135	80586
139	1130	79617
140	1137	79564
141	1145	79497
142	1152	79413
143	1159	79344
144	1167	79345
145	1175	79352
146	1182	79288
147	1190	79244
148	1198	79208
149	1205	79192
150	1213	79167
151	1220	79086
152	1227	79004
153	1234	78948
154	1241	78856
155	1248	78790
156	1255	78695
157	1262	78639
158	1269	78543
159	1275	78466
160	1282	78364
161	1289	78280
162	1295	78165
163	1301	78073
164	1308	77983
165	1314	77895
166	1321	77825
167	1328	77753
168	1335	77689
169	1342	77626
170	1349	77571
171	1356	77481
172	1362	77395
